0,0,3,6,9,12,13,14,15,16,19,22,25,28
1,0.279,0.241,0.258,0.284,0.32,0.337,0.344,0.342,0.322,0.313,0.258,0.169,0.23
4,0.866,0.799,0.842,0.944,1.062,1.069,1.121,1.144,1.178,1.144,1.08,0.998,0.954
7,1.159,1.169,1.218,1.356,1.597,1.723,1.98,1.979,1.879,1.76,1.763,1.783,1.696
8,1.224,1.244,1.321,1.482,1.875,1.976,1.975,1.976,1.978,1.822,1.778,1.743,1.68
9,1.315,1.337,1.411,1.571,1.979,1.978,1.978,1.977,1.77,1.886,1.848,1.837,1.795
10,1.392,1.423,1.496,1.645,1.98,1.978,1.977,1.978,1.979,1.908,1.862,1.824,1.789
11,1.445,1.484,1.555,1.696,1.908,1.978,1.978,1.978,1.978,1.928,1.903,1.886,1.866
14,1.627,1.669,1.731,1.831,1.922,1.922,1.934,1.94,1.944,1.938,1.933,1.922,1.9
17,1.754,1.791,1.831,1.879,1.924,1.936,1.944,1.949,1.952,1.952,1.944,1.933,1.916
