0,0,3,6,9,12,13,14,15,16,17,21,24,27
1,0.264,0.208,0.218,0.218,0.205,0.231,0.223,0.232,0.233,0.224,0.199,0.226,0.256
3,0.655,0.551,0.527,0.534,0.525,0.574,0.552,0.544,0.565,0.535,0.502,0.628,0.618
5,0.864,0.825,0.8,0.83,0.825,0.86,0.848,0.847,0.865,0.84,0.862,0.959,0.943
7,1.04,1.039,1.032,1.074,1.075,1.121,1.116,1.118,1.147,1.186,1.275,1.404,1.21
9,1.201,1.217,1.213,1.265,1.292,1.334,1.328,1.333,1.363,1.398,1.472,1.546,1.384
11,1.349,1.368,1.381,1.421,1.474,1.513,1.526,1.539,1.553,1.586,1.615,1.693,1.549
13,1.475,1.508,1.524,1.564,1.633,1.682,1.715,1.743,1.749,1.743,1.732,1.762,1.667
15,1.598,1.639,1.655,1.688,1.763,1.802,1.84,-1,1.881,1.861,1.818,1.834,1.767
16,1.654,1.719,1.719,1.747,1.816,1.85,1.877,-1,1.913,1.897,1.858,1.872,1.842
17,1.72,1.779,1.779,1.8,1.867,1.894,1.916,-1,1.937,1.925,1.895,1.898,1.873
